is_weekend,start_station,end_station,hour,omega
0,6,35,0,1.4
0,6,35,11,1.4
0,6,35,12,2.8
0,6,35,13,2.8
0,6,35,16,2.8
0,6,35,17,1.4
0,6,35,18,1.4
0,6,35,19,4.199999999999999
0,6,35,20,1.4
0,6,35,21,1.4
0,6,35,22,1.4
0,6,35,23,5.6
0,6,36,11,2.8
0,6,36,12,4.199999999999999
0,6,36,13,2.8
0,6,36,15,2.8
0,6,36,16,1.4
0,6,36,17,2.8
0,6,36,18,2.8
0,6,36,19,1.4
0,6,36,21,1.4
0,6,36,23,5.6
0,6,37,0,1.4
0,6,37,2,1.4
0,6,37,8,11.2
0,6,37,9,1.4
0,6,37,11,5.6
0,6,37,12,5.6
0,6,37,13,1.4
0,6,37,14,1.4
0,6,37,15,2.8
0,6,37,16,2.8
0,6,37,18,2.8
0,6,37,19,4.199999999999999
0,6,37,20,1.4
0,6,37,22,5.6
0,6,37,23,1.4
0,6,38,12,1.4
0,6,38,15,1.4
0,6,38,16,1.4
0,6,38,17,1.4
0,6,38,18,1.4
0,6,38,19,1.4
0,6,38,22,1.4
0,6,38,23,1.4
0,6,39,12,2.8
0,6,39,16,1.4
0,6,39,17,2.8
0,6,39,18,1.4
0,6,39,21,4.199999999999999
0,6,40,0,2.8
0,6,40,2,1.4
0,6,40,12,1.4
0,6,40,13,2.8
0,6,40,14,1.4
0,6,40,17,1.4
0,6,40,21,1.4
0,6,40,22,1.4
0,6,40,23,2.8
0,6,41,0,1.4
0,6,41,8,1.4
0,6,41,12,1.4
0,6,41,13,1.4
0,6,41,14,1.4
0,6,41,16,4.199999999999999
0,6,41,17,1.4
0,6,41,18,4.199999999999999
0,6,41,19,5.6
0,6,41,20,1.4
0,6,41,21,4.199999999999999
0,6,41,22,1.4
0,6,41,23,1.4
0,6,42,0,2.8
0,6,42,8,1.4
0,6,42,11,2.8
0,6,42,12,1.4
0,6,42,17,2.8
0,6,42,18,2.8
0,6,42,19,2.8
0,6,42,21,5.6
0,6,42,23,1.4
0,6,43,16,1.4
0,6,43,21,1.4
0,6,44,0,1.4
0,6,44,1,1.4
0,6,44,8,7.0
0,6,44,9,2.8
0,6,44,16,1.4
0,6,44,19,2.8
0,6,44,20,2.8
0,6,44,22,4.199999999999999
0,6,44,23,5.6
0,6,45,9,2.8
0,6,45,10,1.4
0,6,45,11,2.8
0,6,45,12,1.4
0,6,45,16,1.4
0,6,45,17,1.4
0,6,45,18,4.199999999999999
0,6,45,20,1.4
0,6,45,21,4.199999999999999
0,6,45,22,1.4
0,6,45,23,5.6
0,6,46,11,2.8
0,6,46,15,1.4
0,6,47,0,1.4
0,6,47,7,1.4
0,6,47,9,1.4
0,6,47,11,4.199999999999999
0,6,47,13,1.4
0,6,47,14,2.8
0,6,47,15,4.199999999999999
0,6,47,16,1.4
0,6,47,17,2.8
0,6,47,18,2.8
0,6,47,19,1.4
0,6,47,20,1.4
0,6,47,23,1.4
0,6,48,18,1.4
0,6,48,20,1.4
0,6,48,22,2.8
0,6,49,1,1.4
0,6,49,10,2.8
0,6,49,15,1.4
0,6,49,16,2.8
0,6,49,18,2.8
0,6,49,19,1.4
0,6,49,21,1.4
0,6,49,22,1.4
0,6,50,15,1.4
0,6,50,16,1.4
0,6,50,22,1.4
0,6,50,23,1.4
0,7,21,19,1.4
0,7,27,15,1.4
0,8,2,16,1.4
0,8,2,17,1.4
0,8,3,20,1.4
0,8,4,18,1.4
0,8,4,20,1.4
0,8,5,12,1.4
0,8,6,9,1.4
0,8,6,17,1.4
0,8,6,23,1.4
0,8,8,0,4.199999999999999
0,8,8,1,5.6
0,8,8,2,1.4
0,8,8,5,1.4
0,8,8,6,1.4
0,8,8,7,1.4
0,8,8,8,2.8
0,8,8,9,1.4
0,8,8,10,2.8
0,8,8,11,2.8
0,8,8,12,5.6
0,8,8,13,9.799999999999999
0,8,8,14,5.6
0,8,8,15,9.799999999999999
0,8,8,16,4.199999999999999
0,8,8,17,5.6
0,8,8,18,5.6
0,8,8,19,11.2
0,8,8,20,5.6
0,8,8,21,4.199999999999999
0,8,8,22,8.399999999999999
0,8,8,23,7.0
0,8,9,12,1.4
0,8,9,13,1.4
0,8,9,16,2.8
0,8,9,17,1.4
0,8,9,18,2.8
0,8,9,21,1.4
0,8,9,22,1.4
0,8,9,23,1.4
0,8,11,11,1.4
0,8,11,20,2.8
0,8,12,13,1.4
0,8,12,16,1.4
0,8,12,20,1.4
0,8,14,12,1.4
0,8,14,15,1.4
0,8,14,17,1.4
0,8,14,21,1.4
0,8,15,11,1.4
0,8,15,17,1.4
